Reference, Value, Footprint, Datasheet, MPN
C1,100nF,Capacitor_SMD:C_0805_2012Metric,~,C2012X7R2A104K125AA
CONN1,OUT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,~,22289020
FID1,Fiducial,Fiducial:Fiducial_0.5mm_Mask1mm,~,
FID2,Fiducial,Fiducial:Fiducial_0.5mm_Mask1mm,~,
FID3,Fiducial,Fiducial:Fiducial_0.5mm_Mask1mm,~,
P1,Power,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,,
P2,Analog,Socket_Arduino_Uno:Socket_Strip_Arduino_1x06,,
P3,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x10,,
P4,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,,
P5,CONN_01X01,Socket_Arduino_Uno:Arduino_1pin,,
P6,CONN_01X01,Socket_Arduino_Uno:Arduino_1pin,,
P7,CONN_01X01,Socket_Arduino_Uno:Arduino_1pin,,
P8,CONN_01X01,Socket_Arduino_Uno:Arduino_1pin,,
R1,10k,Resistor_SMD:R_0805_2012Metric,~,RC0805FR-0710KL
R2,10k,Resistor_SMD:R_0805_2012Metric,~,RC0805FR-0710KL
R3,10k,Resistor_SMD:R_0805_2012Metric,~,RC0805FR-0710KL
R4,10k,Resistor_SMD:R_0805_2012Metric,~,RC0805FR-0710KL
TP1,SCL,TestPoint:TestPoint_Pad_D1.0mm,~,
TP2,SDA,TestPoint:TestPoint_Pad_D1.0mm,~,
TP3,GND,TestPoint:TestPoint_Keystone_5010-5014_Multipurpose,~,5011
TP4,P0A,TestPoint:TestPoint_Pad_D1.0mm,~,
TP5,P0B,TestPoint:TestPoint_Pad_D1.0mm,~,
TP6,P0W,TestPoint:TestPoint_Pad_D1.0mm,~,
TVS1,DESD5V0S1BA-7,Diode_SMD:D_SOD-323,~,DESD5V0S1BA-7
TVS2,DESD5V0S1BA-7,Diode_SMD:D_SOD-323,~,DESD5V0S1BA-7
U1,MCP4531T-103E_MS,Package_SO:MSOP-8_3x3mm_P0.65mm,~,MCP4531T-103E/MS
