Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",35.800000,29.550000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",2.250000,50.550000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",24.000000,2.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",64.000000,40.000000,0.000000,top
"R1","10k","R_0805_2012Metric",25.350000,28.400000,90.000000,top
"R2","10k","R_0805_2012Metric",25.350000,23.650000,270.000000,top
"R3","10k","R_0805_2012Metric",38.950000,22.900000,0.000000,top
"R4","10k","R_0805_2012Metric",38.950000,32.200000,180.000000,top
"TVS1","DESD5V0S1BA-7","D_SOD-323",22.800000,28.250000,270.000000,top
"TVS2","DESD5V0S1BA-7","D_SOD-323",22.800000,23.800000,90.000000,top
"U1","MCP4531T-103E_MS","MSOP-8_3x3mm_P0.65mm",35.750000,26.450000,0.000000,top
